PragaDate,DAILY_TMIN,DAILY_TMAX,DAILY_PREC
1966-01-01,-2.5,5.5,0.0
1966-01-02,-0.8,2.7,0.0
1966-01-03,-3.2,4.0,0.0
1966-01-04,-0.8,0.8,0.0
1966-01-05,-3.7,4.9,0.0
1966-01-06,-6.9,6.3,0.0
1966-01-07,-7.7,2.9,0.0
1966-01-08,-5.5,-2.4,0.0
1966-01-09,-2.2,0.6,1.1
1966-01-10,-6.8,-0.8,0.6
1966-01-11,-6.5,-1.2,2.7
1966-01-12,-6.5,-2.0,3.1
1966-01-13,-6.3,-6.2,0.3
1966-01-14,-9.8,-3.5,0.2
1966-01-15,-6.1,-4.3,0.2
1966-01-16,-8.6,-4.0,0.0
1966-01-17,-11.1,-3.1,0.3
1966-01-18,-9.1,-5.4,0.6
1966-01-19,-8.8,-5.4,0.0
1966-01-20,-8.4,-3.2,1.4
1966-01-21,-4.6,0.0,1.9
1966-01-22,-3.0,3.7,2.4
1966-01-23,-2.0,6.4,35.0
1966-01-24,-1.8,8.4,0.0
1966-01-25,1.5,3.7,0.0
1966-01-26,-2.2,4.1,7.4
1966-01-27,0.0,3.6,1.6
1966-01-28,-2.2,2.7,0.0
1966-01-29,1.0,6.2,0.0
1966-01-30,-0.3,5.6,0.0
1966-01-31,-1.2,4.5,0.0
1966-02-01,0.0,5.1,0.8
1966-02-02,2.1,6.1,0.2
1966-02-03,0.9,4.2,0.5
1966-02-04,4.6,8.9,0.7
1966-02-05,0.4,6.8,0.0
1966-02-06,2.7,5.5,0.3
1966-02-07,4.0,4.1,15.3
1966-02-08,1.8,4.5,0.3
1966-02-09,-1.2,1.8,1.1
1966-02-10,1.6,2.8,0.6
1966-02-11,3.3,3.4,9.6
1966-02-12,0.7,1.7,16.7
1966-02-13,2.3,2.4,2.8
1966-02-14,2.4,2.5,8.8
1966-02-15,-1.4,4.7,0.2
1966-02-16,2.9,4.9,0.0
1966-02-17,-3.3,3.1,27.3
1966-02-18,1.9,5.2,4.3
1966-02-19,2.1,2.2,3.5
1966-02-20,2.3,6.5,6.5
1966-02-21,4.2,6.2,27.0
1966-02-22,3.4,4.1,92.4
1966-02-23,0.2,3.5,47.1
1966-02-24,0.4,5.7,1.2
1966-02-25,3.1,3.3,0.0
1966-02-26,3.8,4.8,0.2
1966-02-27,2.8,7.4,1.1
1966-02-28,3.4,4.4,1.0
1966-03-01,4.8,5.8,26.6
1966-03-02,3.0,3.3,0.0
1966-03-03,1.3,1.6,0.0
1966-03-04,-2.4,0.6,0.0
1966-03-05,-1.0,1.3,0.0
1966-03-06,-1.5,2.2,0.1
1966-03-07,2.6,3.4,0.0
1966-03-08,2.4,4.8,0.0
1966-03-09,0.5,6.1,0.0
1966-03-10,1.0,6.7,0.0
1966-03-11,1.7,8.1,0.0
1966-03-12,2.0,3.9,0.2
1966-03-13,0.9,3.7,0.0
1966-03-14,-0.9,0.1,0.0
1966-03-15,-4.3,3.9,0.0
1966-03-16,0.1,2.6,0.0
1966-03-17,-2.9,4.6,0.0
1966-03-18,-1.2,4.3,0.0
1966-03-19,-0.1,0.1,3.1
1966-03-20,-3.3,3.2,0.0
1966-03-21,0.3,3.6,0.0
1966-03-22,1.5,4.3,0.0
1966-03-23,0.9,4.8,0.0
1966-03-24,1.5,6.8,0.5
1966-03-25,-0.6,0.7,0.0
1966-03-26,-5.2,0.9,0.0
1966-03-27,-4.8,4.9,0.0
1966-03-28,0.8,5.8,0.0
1966-03-29,3.1,4.5,0.0
1966-03-30,-0.3,2.4,0.0
1966-03-31,-0.6,3.9,0.0
1966-04-01,3.1,5.0,0.5
1966-04-02,1.0,5.3,3.4
1966-04-03,4.4,5.3,0.0
1966-04-04,1.5,5.3,0.0
1966-04-05,5.6,7.0,1.5
1966-04-06,2.9,6.4,0.0
1966-04-07,3.5,6.1,1.1
1966-04-08,1.6,7.2,20.6
1966-04-09,2.2,4.3,62.5
1966-04-10,2.8,9.2,56.2
1966-04-11,0.4,5.3,0.2
1966-04-12,4.4,7.1,21.1
1966-04-13,5.0,6.9,1.0
1966-04-14,1.4,8.3,5.8
1966-04-15,2.3,7.7,14.1
1966-04-16,5.6,6.3,26.8
1966-04-17,4.8,8.7,38.2
1966-04-18,4.8,8.2,0.0
1966-04-19,3.1,7.6,0.3
1966-04-20,4.3,9.2,0.5
1966-04-21,7.0,8.0,22.3
