"data","BESENZONE","v_BESENZONE","CORTE BRUGNATELLA","v_CORTE BRUGNATELLA","GIORDANI-FARNESE","v_GIORDANI-FARNESE","LUGAGNANO","v_LUGAGNANO","PARCO MONTECUCCO","v_PARCO MONTECUCCO"
"2024-12-15 00:00","10","S","11","S","21","S","29","S","16","S"
"2024-12-16 00:00","19","S","5","S","32","S","27","S","24","S"
"2024-12-17 00:00","47","S","12","S","41","S","33","S","32","S"
"2024-12-18 00:00","41","S","9","S","44","S","27","S","43","S"
"2024-12-19 00:00","29","S","0","S","20","S","8","S","41","S"
"2024-12-20 00:00","0","S","4","S","4","S","11","S","10","S"
"2024-12-21 00:00","11","S","7","S","11","S","20","S","15","S"
"2024-12-22 00:00","22","S","5","S","21","S","24","S","32","S"
"2024-12-23 00:00","19","S","15","S","20","S","17","S","13","S"
"2024-12-24 00:00","11","S","10","S","18","S","18","S","8","S"
"2024-12-25 00:00","27","S","14","S","36","S","28","S","25","S"
"2024-12-26 00:00","52","S","26","S","57","S","46","S","39","S"
"2024-12-27 00:00","43","S","15","S","54","S","42","S","41","S"
"2024-12-28 00:00","30","S","6","S","50","S","19","S","40","S"
"2024-12-29 00:00","30","S","3","S","36","S","12","S","28","S"
"2024-12-30 00:00","33","S","5","S","39","S","18","S","36","S"
"2024-12-31 00:00","38","S","11","S","46","S","23","S","39","S"
"2025-01-01 00:00","66","M","10","M","72","M","25","M","75","M"
"2025-01-02 00:00","83","M","1","M","91","M","54","M","102","M"
"2025-01-03 00:00","60","M","12","M","50","M","37","M","59","M"
"2025-01-04 00:00","48","M","16","M","60","M","36","M","61","M"
"2025-01-05 00:00","31","M","6","M","29","M","36","M","39","M"
"2025-01-06 00:00","49","M","9","M","44","M","48","M","53","M"
"2025-01-07 00:00","24","M","1","M","17","M","15","M","29","M"
"2025-01-08 00:00","23","M","0","M","23","M","19","M","31","M"
"2025-01-09 00:00","18","M","0","M","11","M","16","M","23","M"
"2025-01-10 00:00","24","M","16","M","28","M","20","M","18","M"
"2025-01-11 00:00","26","M","30","M","35","M","45","M","25","M"
"2025-01-12 00:00","33","M","30","M","42","M","42","M","32","M"
"2025-01-13 00:00","38","M","37","M","49","M","52","M","23","M"
"2025-01-14 00:00","27","M","25","M","43","M","50","M","28","M"
"2025-01-15 00:00","38","M","15","M","55","M","42","M","43","M"
"2025-01-16 00:00","64","M","21","M","76","M","57","M","63","M"
"2025-01-17 00:00","24","M","16","M","40","M","26","M","33","M"
"2025-01-18 00:00","35","M","7","M","40","M","31","M","45","M"
"2025-01-19 00:00","38","M","6","M","39","M","12","M","44","M"
"2025-01-20 00:00","33","M","0","M","","","21","M","51","M"
"2025-01-21 00:00","17","M","0","M","","","15","M","26","M"
"2025-01-22 00:00","14","M","0","M","","","9","M","21","M"
"2025-01-23 00:00","14","M","","","5","M","16","M","16","M"
"2025-01-24 00:00","21","M","9","M","25","M","25","M","20","M"
"2025-01-25 00:00","31","M","9","M","30","M","23","M","29","M"
"2025-01-26 00:00","15","M","11","M","23","M","26","M","22","M"
"2025-01-27 00:00","17","M","0","M","13","M","","","27","M"
"2025-01-28 00:00","6","M","11","M","13","M","13","M","21","M"
"2025-01-29 00:00","23","M","21","M","31","M","31","M","27","M"
"2025-01-30 00:00","40","M","20","M","50","M","42","M","40","M"
"2025-01-31 00:00","51","M","26","M","50","M","39","M","39","M"
"2025-02-01 00:00","31","G","12","G","26","G","28","G","25","G"
"2025-02-02 00:00","29","G","13","G","27","G","30","G","22","G"
"2025-02-03 00:00","28","G","14","G","37","G","28","G","33","G"
"2025-02-04 00:00","29","G","26","G","47","G","37","G","31","G"
"2025-02-05 00:00","48","G","37","G","56","G","52","G","45","G"
"2025-02-06 00:00","38","G","38","G","49","G","52","G","38","G"
"2025-02-07 00:00","33","G","41","G","41","G","39","G","41","G"
"2025-02-08 00:00","38","G","21","G","40","G","46","G","42","G"
"2025-02-09 00:00","14","G","11","G","10","G","5","G","22","G"
"2025-02-10 00:00","15","G","6","G","11","G","10","G","25","G"
"2025-02-11 00:00","25","G","4","G","24","G","19","G","35","G"
