"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2024/12";"7";"01/12/2024";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"02/12/2024";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"03/12/2024";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"04/12/2024";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"05/12/2024";"4";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"06/12/2024";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"07/12/2024";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"08/12/2024";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"09/12/2024";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"10/12/2024";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"11/12/2024";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"12/12/2024";"4";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"13/12/2024";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"7";"14/12/2024";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/12";"9";"01/12/2024";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.161";"0";"1.159";"2";"976";"185";"0";"1.161"
"2024/12";"9";"02/12/2024";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.155";"0";"1.087";"68";"966";"189";"1.155";"0"
"2024/12";"12";"01/12/2024";"7";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"11.940";"1";"11.837";"102";"8.693";"3.247";"0";"11.940"
"2024/12";"12";"02/12/2024";"1";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.642";"1";"13.962";"679";"11.992";"2.650";"14.642";"0"
"2024/12";"12";"03/12/2024";"2";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.606";"1";"13.976";"629";"11.970";"2.636";"14.606";"0"
"2024/12";"12";"04/12/2024";"3";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.333";"0";"13.763";"570";"11.530";"2.803";"14.333";"0"
"2024/12";"12";"05/12/2024";"4";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"15.106";"1";"14.411";"694";"12.080";"3.026";"15.106";"0"
"2024/12";"12";"06/12/2024";"5";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"16.095";"1";"15.418";"676";"12.466";"3.629";"16.095";"0"
"2024/12";"12";"07/12/2024";"6";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.416";"1";"14.189";"226";"10.651";"3.765";"0";"14.416"
"2024/12";"12";"08/12/2024";"7";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"11.037";"0";"10.944";"93";"8.037";"3.000";"0";"11.037"
"2024/12";"12";"09/12/2024";"1";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.452";"0";"13.857";"595";"11.769";"2.683";"14.452";"0"
"2024/12";"12";"10/12/2024";"2";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.775";"0";"14.163";"612";"12.059";"2.716";"14.775";"0"
"2024/12";"12";"11/12/2024";"3";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"15.132";"3";"14.452";"677";"12.200";"2.932";"15.132";"0"
"2024/12";"12";"12/12/2024";"4";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"15.469";"0";"14.777";"692";"12.343";"3.126";"15.469";"0"
"2024/12";"12";"13/12/2024";"5";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"16.633";"1";"16.017";"615";"13.006";"3.627";"16.633";"0"
"2024/12";"12";"14/12/2024";"6";"SS 16 tra A 14 (casello Cattolica) e confine regionale Marche";"14.293";"1";"14.020";"272";"10.380";"3.913";"0";"14.293"
