"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/01";"177";"18/01/2025";"6";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"13.982";"0";"13.601";"381";"8.995";"4.987";"0";"13.982"
"2025/01";"177";"19/01/2025";"7";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"10.617";"0";"10.562";"55";"7.354";"3.263";"0";"10.617"
"2025/01";"177";"20/01/2025";"1";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"15.669";"0";"15.043";"626";"12.323";"3.346";"15.669";"0"
"2025/01";"177";"21/01/2025";"2";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"17.202";"0";"16.530";"672";"12.486";"4.716";"17.202";"0"
"2025/01";"177";"22/01/2025";"3";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"17.116";"0";"16.292";"824";"12.492";"4.624";"17.116";"0"
"2025/01";"177";"23/01/2025";"4";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"16.423";"0";"15.875";"548";"12.640";"3.783";"16.423";"0"
"2025/01";"177";"24/01/2025";"5";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"16.433";"0";"15.894";"539";"12.706";"3.727";"16.433";"0"
"2025/01";"177";"25/01/2025";"6";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"12.422";"0";"12.299";"123";"8.792";"3.630";"0";"12.422"
"2025/01";"177";"26/01/2025";"7";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"10.636";"0";"10.574";"62";"7.274";"3.362";"0";"10.636"
"2025/01";"177";"27/01/2025";"1";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"15.816";"0";"15.217";"599";"12.327";"3.489";"15.816";"0"
"2025/01";"177";"28/01/2025";"2";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"14.842";"0";"14.307";"535";"11.326";"3.516";"14.842";"0"
"2025/01";"177";"29/01/2025";"3";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"16.544";"0";"15.906";"638";"12.808";"3.736";"16.544";"0"
"2025/01";"177";"30/01/2025";"4";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"16.649";"0";"16.022";"627";"12.785";"3.864";"16.649";"0"
"2025/01";"177";"31/01/2025";"5";"NSA 313 complanare sud alla A 14 nel tratto tra San Lazzaro e Idice";"16.334";"0";"15.770";"564";"12.406";"3.928";"16.334";"0"
"2025/01";"285";"18/01/2025";"6";"SP 1 tra Crevalcore e San Matteo della Decima";"4.860";"0";"4.758";"102";"3.650";"1.210";"0";"4.860"
"2025/01";"285";"19/01/2025";"7";"SP 1 tra Crevalcore e San Matteo della Decima";"3.287";"0";"3.266";"21";"2.389";"898";"0";"3.287"
"2025/01";"285";"20/01/2025";"1";"SP 1 tra Crevalcore e San Matteo della Decima";"5.981";"0";"5.584";"397";"4.928";"1.053";"5.981";"0"
"2025/01";"285";"21/01/2025";"2";"SP 1 tra Crevalcore e San Matteo della Decima";"6.039";"0";"5.679";"360";"4.929";"1.110";"6.039";"0"
"2025/01";"285";"22/01/2025";"3";"SP 1 tra Crevalcore e San Matteo della Decima";"6.147";"1";"5.770";"376";"5.036";"1.111";"6.147";"0"
"2025/01";"285";"23/01/2025";"4";"SP 1 tra Crevalcore e San Matteo della Decima";"6.170";"0";"5.846";"324";"5.008";"1.162";"6.170";"0"
"2025/01";"285";"24/01/2025";"5";"SP 1 tra Crevalcore e San Matteo della Decima";"6.453";"0";"6.071";"382";"5.148";"1.305";"6.453";"0"
"2025/01";"285";"25/01/2025";"6";"SP 1 tra Crevalcore e San Matteo della Decima";"4.837";"1";"4.735";"101";"3.535";"1.302";"0";"4.837"
"2025/01";"285";"26/01/2025";"7";"SP 1 tra Crevalcore e San Matteo della Decima";"3.208";"0";"3.191";"17";"2.257";"951";"0";"3.208"
"2025/01";"285";"27/01/2025";"1";"SP 1 tra Crevalcore e San Matteo della Decima";"6.140";"0";"5.752";"388";"5.046";"1.094";"6.140";"0"
"2025/01";"285";"28/01/2025";"2";"SP 1 tra Crevalcore e San Matteo della Decima";"6.527";"0";"6.117";"410";"5.419";"1.108";"6.527";"0"
"2025/01";"285";"29/01/2025";"3";"SP 1 tra Crevalcore e San Matteo della Decima";"6.729";"0";"6.314";"415";"5.552";"1.177";"6.729";"0"
"2025/01";"285";"30/01/2025";"4";"SP 1 tra Crevalcore e San Matteo della Decima";"6.714";"0";"6.327";"387";"5.408";"1.306";"6.714";"0"
"2025/01";"285";"31/01/2025";"5";"SP 1 tra Crevalcore e San Matteo della Decima";"6.409";"0";"6.060";"349";"5.086";"1.323";"6.409";"0"
"2025/01";"607";"18/01/2025";"6";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"19/01/2025";"7";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"20/01/2025";"1";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"21/01/2025";"2";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"22/01/2025";"3";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"23/01/2025";"4";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"24/01/2025";"5";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"25/01/2025";"6";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"26/01/2025";"7";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"27/01/2025";"1";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"28/01/2025";"2";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"29/01/2025";"3";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"30/01/2025";"4";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"607";"31/01/2025";"5";"SP 1 a Villafranca di Forli' al confine provinciale Forli'-Cesena/Ravenna";"";"";"";"";"";"";"";""
"2025/01";"615";"18/01/2025";"6";"Piazzale Milano sul ponte fiume Po al confine regionale Lombardia";"24.505";"0";"23.997";"508";"18.280";"6.225";"0";"24.505"
"2025/01";"615";"19/01/2025";"7";"Piazzale Milano sul ponte fiume Po al confine regionale Lombardia";"19.591";"0";"19.337";"254";"14.642";"4.949";"0";"19.591"
"2025/01";"615";"20/01/2025";"1";"Piazzale Milano sul ponte fiume Po al confine regionale Lombardia";"23.254";"0";"22.551";"703";"17.881";"5.373";"23.254";"0"
"2025/01";"615";"21/01/2025";"2";"Piazzale Milano sul ponte fiume Po al confine regionale Lombardia";"23.225";"0";"22.488";"737";"17.696";"5.529";"23.225";"0"
