"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2024/11";"6";"01/11/2024";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.166";"0";"2.155";"11";"1.882";"284";"2.166";"0"
"2024/11";"6";"02/11/2024";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.468";"0";"2.444";"24";"2.098";"370";"0";"2.468"
"2024/11";"6";"03/11/2024";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"2.192";"0";"2.179";"13";"1.933";"259";"0";"2.192"
"2024/11";"6";"04/11/2024";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.235";"0";"1.178";"57";"1.104";"131";"1.235";"0"
"2024/11";"6";"05/11/2024";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.104";"0";"1.052";"52";"991";"113";"1.104";"0"
"2024/11";"6";"06/11/2024";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.077";"0";"1.044";"33";"942";"135";"1.077";"0"
"2024/11";"6";"07/11/2024";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.126";"0";"1.076";"50";"1.005";"121";"1.126";"0"
"2024/11";"6";"08/11/2024";"5";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.339";"0";"1.288";"51";"1.142";"197";"1.339";"0"
"2024/11";"6";"09/11/2024";"6";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.557";"1";"1.526";"30";"1.297";"260";"0";"1.557"
"2024/11";"6";"10/11/2024";"7";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.554";"1";"1.543";"10";"1.347";"207";"0";"1.554"
"2024/11";"6";"11/11/2024";"1";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.082";"0";"1.038";"44";"965";"117";"1.082";"0"
"2024/11";"6";"12/11/2024";"2";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.060";"0";"1.008";"52";"954";"106";"1.060";"0"
"2024/11";"6";"13/11/2024";"3";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.046";"1";"998";"47";"906";"140";"1.046";"0"
"2024/11";"6";"14/11/2024";"4";"SS 12 tra Fiumalbo e confine regionale Toscana";"1.114";"0";"1.062";"52";"971";"143";"1.114";"0"
"2024/11";"7";"01/11/2024";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"02/11/2024";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"03/11/2024";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"04/11/2024";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"05/11/2024";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"06/11/2024";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"07/11/2024";"4";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"08/11/2024";"5";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"09/11/2024";"6";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"10/11/2024";"7";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"11/11/2024";"1";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"12/11/2024";"2";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"13/11/2024";"3";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"7";"14/11/2024";"4";"SS 64 a Ponte della Venturina (Porretta Terme) al confine regionale Toscana";"";"";"";"";"";"";"";""
"2024/11";"9";"01/11/2024";"5";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.954";"0";"1.949";"5";"1.687";"267";"1.954";"0"
"2024/11";"9";"02/11/2024";"6";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.943";"0";"1.908";"35";"1.667";"276";"0";"1.943"
"2024/11";"9";"03/11/2024";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.967";"0";"1.959";"8";"1.671";"296";"0";"1.967"
"2024/11";"9";"04/11/2024";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.175";"0";"1.122";"53";"963";"212";"1.175";"0"
"2024/11";"9";"05/11/2024";"2";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.204";"0";"1.125";"79";"1.014";"190";"1.204";"0"
"2024/11";"9";"06/11/2024";"3";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.229";"0";"1.144";"85";"1.014";"215";"1.229";"0"
"2024/11";"9";"07/11/2024";"4";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.240";"0";"1.165";"75";"1.022";"218";"1.240";"0"
"2024/11";"9";"08/11/2024";"5";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.309";"0";"1.242";"67";"1.070";"239";"1.309";"0"
"2024/11";"9";"09/11/2024";"6";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.368";"0";"1.333";"35";"1.088";"280";"0";"1.368"
"2024/11";"9";"10/11/2024";"7";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.443";"0";"1.439";"4";"1.243";"200";"0";"1.443"
"2024/11";"9";"11/11/2024";"1";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.203";"0";"1.141";"62";"996";"207";"1.203";"0"
"2024/11";"9";"12/11/2024";"2";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.102";"1";"1.031";"70";"919";"183";"1.102";"0"
"2024/11";"9";"13/11/2024";"3";"SS 67 a Portico di Romagna tra Rocca San Casciano e San Benedetto in Alpe";"1.263";"0";"1.204";"59";"1.038";"225";"1.263";"0"
